Profile_mean,Profile_skewness,Profile_kurtosis,DM_mean,DM_std,Class
0.7213416419221279,0.16504291238441007,0.015627167941209236,0.013382186556334871,0.11368056542561854,0
0.5176278700179834,0.23541516392945033,0.01826776354220743,0.006559968830055389,0.07252430110627058,0
0.5203462841370081,0.22113842423544097,0.040676888356435334,0.013030023751041665,0.13918842885084276,0
0.7009326251516038,0.1817495856424029,0.01653440569585437,0.015367785346512293,0.13158336518386693,0
0.4438542930032202,0.24904418933273553,0.041711709262821424,0.004327106796658966,0.03968448589833756,0
0.4697837815231483,0.24211029977387458,0.03159960302940131,0.00637639460090624,0.06947340496819053,0
0.6085065451047635,0.19179176796892322,0.024032538400353336,0.0035216280439706775,0.018486948737903755,0
0.6668478942746017,0.1727095353054417,0.031210716137182532,0.004514427436819033,0.06786470787284064,0
0.5430136757141065,0.23414523413164806,0.028074615615424018,0.009493410058546606,0.0689096387497493,0
0.5430554974697838,0.23547185339869564,0.04227521556390526,0.017323412830679535,0.17052079553451138,0
0.7294550625235248,0.15642024610371352,0.029700018713945578,0.023134099100094657,0.20953900129278819,0
0.6822383003638492,0.1804781380778147,0.027287906265717903,0.006357662536890234,0.04490455752070539,0
0.6913554431015014,0.17502403423421795,0.02448605650293687,0.04697252378389147,0.3289534852581431,0
0.6002676592363347,0.22135049923955175,0.03510119207558224,0.011752496982461582,0.1524900392309197,0
0.7085860064405504,0.18542583991308806,0.02630692340700227,0.02740875611571652,0.2343904107377736,0
0.5811132951361299,0.17912687397831767,0.021517047051328807,0.011314166683590882,0.09510302595574739,0
0.5558111329513613,0.2024674761060954,0.021964646735828205,0.005803193442912577,0.04553489100567554,0
0.5087616578143951,0.2282278809182244,0.025476547083067024,0.011774975461969213,0.13813401484103144,0
0.6974195976747104,0.18401248210922097,0.02174836601827565,0.04090708146715835,0.29752530507973335,0
0.5008155242357074,0.3441955368171433,0.08507216505123558,0.12251144529076877,0.5262675296059454,1
0.5089707665927816,0.2517208129377657,0.0252582569800279,0.016446752232938136,0.15178236302830644,0
0.5333528501526494,0.20297202130095504,0.030221772038314224,0.014959426349171065,0.12960544378950878,0
0.48207937769227543,0.22144595445329762,0.03713346003081673,0.007256801614139265,0.047239791925057104,0
0.5971728493162143,0.214565129218687,0.019842141987412888,0.026011344136537853,0.1684457404396204,0
0.5397934005269541,0.22667123034488257,0.021826267187902357,0.009961711663427481,0.10685337874708402,0
0.5722889046882188,0.21672062068512762,0.02379155551722714,0.03615288360914214,0.2947521630428674,0
0.6693571996152399,0.20296628264434435,0.0259075768594601,0.010902061275238736,0.08021556276591103,0
0.6082556145706997,0.18837219395275367,0.019050777927839515,0.009643266570674658,0.08838425999165857,0
0.6284555225628372,0.20666443448402147,0.023100869792887644,0.008485625012693163,0.09248742589449722,0
0.5182133745974656,0.21179861520963378,0.028403372745413984,0.0057170259493350885,0.08360444088250389,0
